         193658 function calls (189629 primitive calls) in 0.683 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:983(update)
  214/212    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
       26    0.000    0.000    0.000    0.000 element.py:2011(__init__)
      122    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
      144    0.000    0.000    0.000    0.000 os.py:697(__iter__)
        8    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
        8    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       26    0.000    0.000    0.393    0.015 {method 'readline' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 parse.py:372(urlparse)
       18    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       84    0.000    0.000    0.002    0.000 re.py:249(compile)
       10    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       60    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       55    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        2    0.000    0.000    0.000    0.000 ssl_.py:457(is_ipaddress)
     14/8    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
        3    0.000    0.000    0.000    0.000 url.py:333(parse_url)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
       35    0.000    0.000    0.000    0.000 enum.py:678(__new__)
       35    0.000    0.000    0.000    0.000 enum.py:359(__call__)
       22    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
       21    0.000    0.000    0.013    0.001 response.py:740(_update_chunk_length)
       88    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        8    0.000    0.000    0.001    0.000 sre_parse.py:937(parse)
       39    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
        1    0.000    0.000    0.573    0.573 sessions.py:671(send)
        1    0.000    0.000    0.460    0.460 connectionpool.py:522(urlopen)
       30    0.000    0.000    0.000    0.000 element.py:274(get_text)
       25    0.000    0.000    0.001    0.000 element.py:1846(find)
        1    0.000    0.000    0.002    0.002 ssl_.py:250(create_urllib3_context)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
        1    0.000    0.000    0.460    0.460 connectionpool.py:361(_make_request)
       25    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      135    0.000    0.000    0.000    0.000 enum.py:801(value)
       20    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
       11    0.000    0.000    0.000    0.000 queue.py:122(put)
       26    0.000    0.000    0.025    0.001 element.py:1871(find_all)
        2    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        4    0.000    0.000    0.001    0.000 ssl_match_hostname.py:25(_dnsname_match)
        1    0.000    0.000    0.034    0.034 ssl.py:1013(_create)
       21    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       20    0.000    0.000    0.112    0.006 models.py:812(generate)
        5    0.000    0.000    0.000    0.000 client.py:1238(putheader)
       24    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       20    0.000    0.000    0.112    0.006 response.py:606(stream)
        1    0.000    0.000    0.380    0.380 client.py:311(begin)
       18    0.000    0.000    0.000    0.000 _collections.py:215(add)
       22    0.000    0.000    0.000    0.000 threading.py:359(notify)
        1    0.000    0.000    0.000    0.000 models.py:659(__init__)
        1    0.000    0.000    0.075    0.075 __init__.py:120(__init__)
        1    0.000    0.000    0.380    0.380 client.py:278(_read_status)
      234    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
     11/8    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       33    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       40    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 ssl_match_hostname.py:98(match_hostname)
        1    0.000    0.000    0.001    0.001 parser.py:59(parsestr)
        1    0.000    0.000    0.000    0.000 response.py:200(__init__)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.033    0.033 connection.py:37(create_connection)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 request.py:2556(_proxy_bypass_macosx_sysconf)
        8    0.000    0.000    0.000    0.000 enum.py:986(__and__)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:813(get)
        7    0.000    0.000    0.000    0.000 structures.py:40(__init__)
       52    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        1    0.000    0.000    0.000    0.000 client.py:1284(_send_request)
       10    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       21    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       26    0.000    0.000    0.000    0.000 element.py:2278(__init__)
        4    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        8    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x10e7c3130}
        1    0.000    0.000    0.461    0.461 adapters.py:436(send)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.000    0.000 response.py:632(from_httplib)
       25    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        1    0.000    0.000    0.000    0.000 shlex.py:19(shlex)
       30    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
       38    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        1    0.000    0.000    0.000    0.000 _collections.py:231(extend)
       56    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
